,QD,YD,XIRR-1,XIRR-3,XIRR-5,XIRR-10,XIRR-INC,myCustomInterval
200500,0.0074,0.1033,0.1823,0.0794,0.1255,,0.1204,0.1109
200501,0.006,0.1023,0.1807,0.0782,0.1286,,0.1288,0.1206
200761,0.0134,0.109,0.1954,0.0825,0.1244,,0.1419,0.1352
200777,0.0154,0.1126,0.1922,0.08,0.1347,,0.1517,0.1458
200778,0.0116,0.1036,0.1874,0.0795,0.1254,,0.1394,0.1318
201621,-0.0016,0.0408,0.0941,0.0369,0.0666,,0.0733,0.0724
202617,0.0118,0.0942,0.1687,0.0707,0.1111,,0.126,0.1193
202618,0.0216,0.1101,0.1631,0.0586,0.0863,,0.0894,0.0723
204546,0.0081,0.0731,0.1013,0.0311,,,0.0705,0.0649
204548,0.0085,0.0758,0.1435,0.0545,,,0.0932,0.0862
208289,,,,,,,,
208290,,,,,,,,
210291,0.0222,0.1174,0.1682,0.0602,,,0.1106,0.0918
217031,0.0289,0.0819,0.1307,0.0576,,,0.0681,0.0541
217060,0.1171,0.1048,0.1317,0.1178,,,0.1276,0.112
217061,0.0415,0.0945,0.1581,0.0767,,,0.0841,0.0648
217063,0.0102,0.0345,0.0762,0.0179,,,0.0177,0.007
217065,0.0102,0.0356,0.0778,0.0184,,,0.0176,0.0064
217267,-0.0623,-0.1168,-0.0855,-0.0214,,,-0.015,-0.0149
228557,0.0176,0.0962,0.171,0.0768,,,0.0822,0.0617
229303,0.0171,0.076,,,,,0.1293,
230034,,,,,,,,
233337,-0.0059,,,,,,-0.0054,
A002T2,-0.0554,0.0506,0.1434,,,,0.0257,0.008
A00BX3,0.0159,0.1017,0.1615,,,,0.0618,
A00G31,0.0052,0.0987,0.1771,,,,0.0725,
A00G33,0.0196,0.1088,0.1613,,,,0.0604,
A00I10,0.0062,0.0998,0.1763,,,,0.0791,
A00I11,0.0066,0.1032,0.1849,,,,0.0838,
A00I15,-0.0207,0.062,0.1584,,,,0.0914,
A00MR0,0.0067,0.1041,0.1601,,,,0.1052,
A01BW0,0.0066,0.0735,0.1409,,,,0.1372,
A01BW5,0.0012,0.089,0.1626,,,,0.1532,
A01BW6,-0.0045,0.0355,0.1041,,,,0.1035,
A01BX1,0.0052,0.049,0.1073,,,,0.1046,
A01BX5,0.0195,0.1025,0.1601,,,,0.1521,
A01BY0,0.0019,0.0665,0.1309,,,,0.1204,
A01GN0,-0.0055,0.0363,,,,,0.0663,
A01GN5,0.0191,0.0898,,,,,0.1498,
A01RG0,0.005,0.0962,,,,,0.23,
A01RG5,0.0151,0.1015,,,,,0.2134,
A022R0,0.0033,,,,,,0.0345,
A02AL0,0.0037,,,,,,0.0001,
A02AN1,0.0022,,,,,,0.0057,
A02AN2,-0.0026,,,,,,-0.0026,
A02AN3,0.0017,,,,,,0.0041,
A02AN5,0.0082,,,,,,0.009,
A02AO5,0.0081,,,,,,0.009,
A02AO6,-0.0001,,,,,,0.0036,
A02CV0,0.008,0.0745,,,,,0.1654,
A02HM0,,,,,,,-0.0088,
A02MU0,,,,,,,0.0013,
A7A010,-0.0034,0.0261,0.0764,0.0309,0.0599,,0.0623,0.0633
A7A020,0.0084,0.1025,0.1823,0.0648,0.1265,,0.1361,0.129
A7A040,0.0089,0.0904,0.1625,0.0659,0.1056,,0.1039,0.0937
A7A041,0.0063,0.0831,0.1528,0.059,,,0.0686,0.0506
A7A045,0.0079,0.0898,0.1638,0.0618,,,0.0751,0.0561
A7A050,-0.0016,0.0423,0.0968,0.0323,,,0.0593,0.0562
A7A060,-0.0028,0.0485,0.1057,0.0383,,,0.0562,0.0511
A7A070,0.0172,0.0744,0.1127,0.0264,,,0.0422,0.0305
A7A080,0.0173,0.0764,0.1159,0.0277,,,0.0433,0.0312
A7A090,-0.0035,0.0629,0.1293,0.0626,,,0.1329,0.1333
A7A096,0.0185,0.0692,0.0908,0.0908,,,0.0908,0.0842
A7A100,0.0077,0.1013,0.1806,0.065,,,0.1156,0.0988
A7A112,0.0031,0.0933,0.1697,0.0714,,,0.1286,0.1208
A7A121,0.0027,0.091,0.1599,0.0657,,,0.1248,0.1181
A7A123,0.0219,0.1174,0.1671,0.0584,,,0.1168,0.0999
A7A130,0.0145,0.109,0.151,0.0502,,,0.1069,0.0965
A7A131,0.0046,0.0599,,,,,0.0596,
A7A140,0.0081,0.0919,,,,,0.1086,
A7A145,0.0272,0.1154,0.1351,0.0296,,,0.0418,0.0124
A7A146,-0.0048,0.0577,0.1199,0.0509,,,0.0701,0.0628
A7A150,0.0597,0.1015,0.1638,0.1056,,,0.1136,0.0955
A7A151,0.0082,0.0996,0.1825,0.0657,,,0.0653,0.037
A7A155,-0.0003,-0.0005,-0.0011,0.5038,,,0.4989,0.6237
A7A161,0.0211,0.1141,0.1714,,,,0.1585,
A7A165,,,,,,,,
A7A174,0.0068,0.0959,0.1743,,,,0.0962,0.0659
A7A181,0.004,0.0886,0.1695,0.0703,,,0.0711,0.0482
A7A190,0.0033,0.0975,0.1559,0.049,,,0.0489,0.0297
A7A200,0.0059,0.0729,0.1366,0.0448,,,0.0447,0.0247
A7A210,0.005,0.098,0.1764,,,,0.0546,0.0243
A7A211,0.0266,0.1104,0.1424,,,,0.0238,-0.0182
A7A220,0.0068,0.1002,0.1762,,,,0.0492,0.0156
A7A230,-0.0053,0.0538,0.1149,0.0407,0.073,,0.0794,0.077
A7EA11,0.004,0.0957,0.1723,0.0771,,,0.1065,0.0919
A7EA24,0.0218,0.1163,0.1627,0.0557,,,0.0957,0.0739
A7P001,0.0048,0.1002,0.1817,0.08,,,0.1178,0.1028
